Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"BA, Xylan rep1",2.0,0.0,0.310900002717972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08529128296092,0,0,0,0,0,1
"BA, Xylan rep2",0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,0,1
"BA, Xylan rep2",1.0,0.0,0.175199992954731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75086047734429,0,0,0,0,0,1
"BA, Xylan rep2",2.0,0.0,0.294899992644787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99724390167522,0,0,0,0,0,1
"BA, Xylan rep3",0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,0,1
"BA, Xylan rep3",1.0,0.0,0.180399995297194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64975468223393,0,0,0,0,0,1
"BA, Xylan rep3",2.0,0.0,0.294100012630224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86629701299572,0,0,0,0,0,1
"BA, none rep1",0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,0,0
"BA, none rep1",1.0,0.0,0.002100002020597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91940533956201,0,0,0,0,0,0
"BA, none rep1",2.0,0.0,0.014699999243021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90348639965778,0,0,0,0,0,0
"BA, none rep2",0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,0,0
"BA, none rep2",1.0,0.0,-0.003299999982119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93026864952116,0,0,0,0,0,0
"BA, none rep2",2.0,0.0,0.015900000929833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93677113273805,0,0,0,0,0,0
"BA, none rep3",0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,0,0
"BA, none rep3",1.0,0.0,-0.014400001615286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93506604572112,0,0,0,0,0,0
"BA, none rep3",2.0,0.0,-0.000900000333786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93255740109939,0,0,0,0,0,0
"BH, AcGum rep1",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1,0,0,0,0,0
"BH, AcGum rep1",1.0,0.0,0.0,0.193599991500378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9018133726091,1,0,0,0,0,0
"BH, AcGum rep1",2.0,0.0,0.0,0.091899998486042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81922256745719,1,0,0,0,0,0
"BH, AcGum rep2",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1,0,0,0,0,0
"BH, AcGum rep2",1.0,0.0,0.0,0.037000000476837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88851757613497,1,0,0,0,0,0
"BH, AcGum rep2",2.0,0.0,0.0,0.050900004804134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85545157340033,1,0,0,0,0,0
"BH, AcGum rep3",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1,0,0,0,0,0
"BH, AcGum rep3",1.0,0.0,0.0,0.021699994802475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8961654253973,1,0,0,0,0,0
"BH, AcGum rep3",2.0,0.0,0.0,0.076699994504452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83574294420274,1,0,0,0,0,0
"BH, ArGal rep1",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,1,0,0,0,0
"BH, ArGal rep1",1.0,0.0,0.0,0.040500000119209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90444050961198,0,1,0,0,0,0
"BH, ArGal rep1",2.0,0.0,0.0,0.057500004768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84730286574035,0,1,0,0,0,0
"BH, ArGal rep2",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,1,0,0,0,0
"BH, ArGal rep2",1.0,0.0,0.0,0.034099999815226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90883539605202,0,1,0,0,0,0
"BH, ArGal rep2",2.0,0.0,0.0,0.06140000000596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83534511531887,0,1,0,0,0,0
