Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"CA, ArGal",0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,1.0,0.0,0.0,0.0,0.0
"CA, ArGal",45.0,0.0,0.0,0.0,0.0,0.0,0.011400002986192667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93598038070376,0.0,1.0,0.0,0.0,0.0,0.0
"CA, Inulin",0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1.0,0.0,0.0,0.0
"CA, Inulin",45.0,0.0,0.0,0.0,0.0,0.0,0.00013333310683566672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.928498862202416,0.0,0.0,1.0,0.0,0.0,0.0
"CA, Pectin",0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,1.0,0.0,0.0
"CA, Pectin",45.0,0.0,0.0,0.0,0.0,0.0,0.14080000172058735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.792061574055377,0.0,0.0,0.0,1.0,0.0,0.0
"CA, Starch",0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0
"CA, Starch",45.0,0.0,0.0,0.0,0.0,0.0,-0.007866663237412667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.940872029088093,0.0,0.0,0.0,0.0,1.0,0.0
"CA, Xylan",0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0
"CA, Xylan",45.0,0.0,0.0,0.0,0.0,0.0,0.003966667999824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.903591788356863,0.0,0.0,0.0,0.0,0.0,1.0
"CA, none",0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
"CA, none",45.0,0.0,0.0,0.0,0.0,0.0,-0.0011333338916303334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.934051300499184,0.0,0.0,0.0,0.0,0.0,0.0
"CC, AcGum",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0
"CC, AcGum",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04146666576464966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9234506763408,1.0,0.0,0.0,0.0,0.0,0.0
"CC, ArGal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,1.0,0.0,0.0,0.0,0.0
"CC, ArGal",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03180000310142833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8826911315543535,0.0,1.0,0.0,0.0,0.0,0.0
"CC, Inulin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1.0,0.0,0.0,0.0
"CC, Inulin",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12083332985639567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.887435969426437,0.0,0.0,1.0,0.0,0.0,0.0
"CC, Pectin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,1.0,0.0,0.0
"CC, Pectin",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3043000077207883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.803765060859296,0.0,0.0,0.0,1.0,0.0,0.0
"CC, Starch",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0
